City,arab_voter_count
TRANQUILLITY,2
TRAVER,6
TRAVIS,1
TRES PINOS,1
TRONA,1
TRUCKEE,16
TUJUNGA,127
TULARE,136
TURLOCK,343
TUSTIN,1004
TWENTYNINE PALMS,23
TWIN PEAKS,2
UKIAH,40
UNION CITY,1551
UNIVERSAL CITY,1
UPLAND,914
UPPER LAKE,1
VACAVILLE,333
VALENCIA,519
VALLEJO,502
VALLEY CENTER,79
VALLEY SPRINGS,13
VALLEY VILLAGE,173
VALLEY VLG,2
VAN NUYS,765
VANDENBERG AFB,3
VENICE,143
VENTURA,296
VERNALIS,6
VICTORVILLE,564
VILLA PARK,111
VISALIA,467
VISTA,287
W LOS ANGELES,1
WALNUT,493
WALNUT CREEK,1104
WARNER SPRINGS,3
WASCO,22
WATERFORD,7
WATSONVILLE,136
WEAVERVILLE,4
WEED,1
WEST COVINA,470
WEST HILLS,78
WEST HOLLYWOOD,289
WEST POINT,1
WEST SACRAMENTO,670
WESTCHESTER,2
WESTLAKE VILLAGE,202
WESTMINSTER,622
WHEATLAND,1
WHITEWATER,4
WHITTIER,314
WILDOMAR,170
WILLIAMS,7
WILLITS,6
WILLOWS,10
WILMINGTON,40
WILTON,30
WINCHESTER,260
WINDSOR,40
WINNETKA,593
WINTERHAVEN,1
WINTERS,14
WINTON,3
WOFFORD HEIGHTS,1
WOODACRE,7
WOODBRIDGE,23
WOODLAKE,15
WOODLAND,858
WOODLAND HILLS,1394
WOODLAND HLS,13
WOODSIDE,35
WRIGHTWOOD,5
YERMO,4
YOKUTS VALLEY,9
YORBA LINDA,1054
YOUNTVILLE,2
YUBA CITY,515
YUCAIPA,152
YUCCA VALLEY,36
ZAMORA,2
